state,statefp,county,countyfp,year,month,trap_type,num_collection_events,num_sites,num_trap_nights,num_aegypti_collected,num_albopictus_collected,num_collections_aegypti,num_collections_albopictus
Florida,12,Collier,021,2015,10,CO2,73,17,73,69,0,5,0
Florida,12,Collier,021,2015,11,CO2,43,14,43,9,0,4,0
Florida,12,Collier,021,2015,12,CO2,35,9,35,5,0,2,0
Florida,12,Collier,021,2016,1,CO2,2,2,2,0,0,0,0
Florida,12,Collier,021,2016,2,CO2,2,2,2,0,0,0,0
Florida,12,Collier,021,2016,3,CO2,49,10,49,0,2,0,1
Florida,12,Collier,021,2016,4,CO2,40,11,40,0,3,0,2
Florida,12,Collier,021,2016,5,CO2,38,11,38,0,4,0,1
Florida,12,Collier,021,2016,5,BGS,11,8,11,54,38,6,6
Florida,12,Collier,021,2016,6,CO2,56,11,56,8,18,1,2
Florida,12,Collier,021,2016,6,BGS,23,8,23,316,40,21,4
Florida,12,Collier,021,2016,7,CO2,63,12,63,2,21,1,5
Florida,12,Collier,021,2016,7,BGS,15,2,15,1036,0,15,0
Florida,12,Collier,021,2016,8,CO2,70,13,70,11,25,3,6
Florida,12,Collier,021,2016,9,CO2,68,13,68,0,6,0,4
Florida,12,Collier,021,2016,10,CO2,29,9,29,0,17,0,3
Florida,12,Collier,021,2016,11,CO2,31,9,31,0,6,0,1
Florida,12,Collier,021,2016,12,CO2,33,9,33,0,5,0,2
Florida,12,Collier,021,2016,12,BGS,2,1,2,1,0,1,0
Florida,12,Collier,021,2017,1,CO2,20,7,20,0,0,0,0
Florida,12,Collier,021,2017,1,BGS,3,3,3,2,1,2,1
Florida,12,Collier,021,2017,2,CO2,1,1,1,0,0,0,0
Florida,12,Collier,021,2017,2,BGS,7,3,7,26,7,5,3
Florida,12,Collier,021,2017,3,CO2,8,7,8,0,0,0,0
Florida,12,Collier,021,2017,4,BGS,2,2,2,3,1,1,1
Florida,12,Collier,021,2017,5,CO2,5,3,5,0,24,0,1
Florida,12,Collier,021,2017,5,BGS,7,3,7,156,1,6,1
Florida,12,Collier,021,2017,6,CO2,24,7,24,0,16,0,1
Florida,12,Collier,021,2017,6,BGS,8,2,8,202,5,8,4
Florida,12,Collier,021,2017,7,CO2,48,10,48,217,40,5,3
Florida,12,Collier,021,2017,7,BGS,46,12,46,331,16,33,10
Florida,12,Collier,021,2017,8,CO2,44,9,44,0,72,0,2
Florida,12,Collier,021,2017,8,BGS,15,5,15,23,0,8,0
Florida,12,Collier,021,2017,9,CO2,10,5,10,192,3808,1,4
Florida,12,Collier,021,2017,9,BGS,1,1,1,0,0,0,0
Florida,12,Collier,021,2017,10,CO2,19,4,19,0,0,0,0
Florida,12,Collier,021,2017,10,BGS,47,13,47,43,2,15,2
Florida,12,Collier,021,2017,11,CO2,8,4,8,0,16,0,1
Florida,12,Collier,021,2017,11,BGS,1,1,1,1,0,1,0
Florida,12,Collier,021,2017,12,CO2,7,7,7,0,64,0,1
Florida,12,Collier,021,2018,2,CO2,20,9,20,1,9,1,2
Florida,12,Collier,021,2018,2,BGS,25,9,25,12,0,9,0
Florida,12,Collier,021,2018,3,CO2,6,6,6,0,0,0,0
Florida,12,Collier,021,2018,3,BGS,8,4,8,4,0,4,0
Florida,12,Collier,021,2018,4,CO2,10,6,10,8,0,1,0
Florida,12,Collier,021,2018,4,BGS,28,8,28,11,0,7,0
Florida,12,Collier,021,2018,5,CO2,13,7,13,0,4,0,1
Florida,12,Collier,021,2018,5,BGS,13,5,13,13,0,5,0
Florida,12,Collier,021,2018,6,CO2,54,10,54,68,4,2,1
Florida,12,Collier,021,2018,6,BGS,4,1,4,8,0,2,0
Florida,12,Collier,021,2018,7,CO2,92,14,92,66,34,2,2
Florida,12,Collier,021,2018,7,BGS,13,2,13,47,18,6,1
Florida,12,Collier,021,2018,8,CO2,65,10,65,6,2,2,1
Florida,12,Collier,021,2018,8,BGS,28,10,28,66,1,15,1
Florida,12,Collier,021,2018,9,CO2,68,10,68,4,92,1,3
Florida,12,Collier,021,2018,9,BGS,15,5,15,32,1,6,1
Florida,12,Collier,021,2018,10,CO2,66,10,66,0,134,0,4
Florida,12,Collier,021,2018,10,BGS,14,4,14,18,8,7,4
Florida,12,Collier,021,2018,11,CO2,10,10,10,0,0,0,0
Florida,12,Escambia,033,2016,2,CO2,1,1,1,0,0,0,0
Florida,12,Escambia,033,2016,3,CO2,6,6,6,0,0,0,0
Florida,12,Escambia,033,2016,5,CO2,14,9,14,0,0,0,0
Florida,12,Escambia,033,2016,6,BGS,13,9,13,0,1675,0,6
Florida,12,Escambia,033,2016,6,CO2,35,20,35,0,31,0,9
Florida,12,Escambia,033,2016,7,BGS,12,9,12,0,48,0,4
Florida,12,Escambia,033,2016,7,CO2,20,14,20,0,46,0,7
Florida,12,Escambia,033,2016,8,BGS,11,7,11,0,129,0,6
Florida,12,Escambia,033,2016,8,CO2,26,16,26,0,104,0,8
Florida,12,Escambia,033,2016,9,BGS,9,6,9,0,44,0,4
Florida,12,Escambia,033,2016,9,CO2,33,22,33,0,38,0,6
Florida,12,Escambia,033,2016,10,BGS,6,4,6,0,12,0,1
Florida,12,Escambia,033,2016,10,CO2,17,11,17,0,4,0,2
Florida,12,Escambia,033,2016,11,CO2,5,3,5,0,0,0,0
Florida,12,Escambia,033,2017,4,BGS,5,4,5,0,15,0,4
Florida,12,Escambia,033,2017,4,CO2,9,8,9,0,3,0,2
Florida,12,Escambia,033,2017,5,BGS,4,3,4,0,130,0,3
Florida,12,Escambia,033,2017,5,CO2,26,15,26,0,30,0,8
Florida,12,Escambia,033,2017,6,CO2,11,8,11,0,40,0,6
Florida,12,Escambia,033,2017,7,BGS,5,4,5,0,43,0,4
Florida,12,Escambia,033,2017,7,CO2,14,7,14,0,8,0,3
Florida,12,Escambia,033,2017,8,BGS,1,1,1,0,7,0,1
Florida,12,Escambia,033,2017,8,CO2,12,9,12,0,11,0,5
Florida,12,Escambia,033,2017,9,BGS,3,2,3,0,8,0,2
Florida,12,Escambia,033,2017,9,CO2,43,26,43,0,9,0,4
Florida,12,Escambia,033,2017,10,CO2,3,2,3,0,6,0,1
Florida,12,Escambia,033,2017,11,CO2,13,10,13,0,0,0,0
Florida,12,Escambia,033,2018,3,BGS,1,1,1,0,19,0,1
Florida,12,Escambia,033,2018,3,CO2,7,4,7,0,73,0,2
Florida,12,Escambia,033,2018,4,CO2,37,25,37,0,29,0,3
Florida,12,Escambia,033,2018,5,BGS,5,3,5,0,28,0,3
Florida,12,Escambia,033,2018,5,CO2,56,32,56,0,80,0,9
Florida,12,Escambia,033,2018,6,BGS,4,3,4,0,27,0,3
Florida,12,Escambia,033,2018,6,CO2,38,25,38,0,86,0,10
Florida,12,Escambia,033,2018,7,CO2,20,15,20,0,26,0,7
Florida,12,Escambia,033,2018,8,BGS,3,2,3,0,73,0,2
Florida,12,Escambia,033,2018,8,CO2,39,26,39,0,65,0,8
Florida,12,Escambia,033,2018,9,CO2,16,12,16,0,15,0,2
Florida,12,Escambia,033,2018,10,BGS,3,2,3,0,11,0,2
Florida,12,Escambia,033,2018,10,CO2,38,25,38,0,3,0,2
Florida,12,Escambia,033,2018,11,CO2,10,9,10,0,19,0,2
Florida,12,Escambia,033,2018,12,CO2,1,1,1,0,0,0,0
Florida,12,Hillsborough,057,2008,12,CO2,1,1,1,0,0,0,0
Florida,12,Hillsborough,057,2009,1,CO2,125,53,125,18,21,10,11
Florida,12,Hillsborough,057,2009,2,CO2,134,51,134,5,8,5,4
Florida,12,Hillsborough,057,2009,3,CO2,199,56,200,14,34,11,20
Florida,12,Hillsborough,057,2009,4,CO2,178,65,179,15,32,11,15
Florida,12,Hillsborough,057,2009,5,CO2,217,71,219,60,91,22,32
Florida,12,Hillsborough,057,2009,6,CO2,331,73,338,204,503,39,84
Florida,12,Hillsborough,057,2009,7,CO2,271,72,275,714,705,75,75
Florida,12,Hillsborough,057,2009,8,CO2,348,72,348,226,443,53,75
Florida,12,Hillsborough,057,2009,9,CO2,275,72,275,120,359,44,67
Florida,12,Hillsborough,057,2009,10,CO2,277,72,277,107,310,40,64
Florida,12,Hillsborough,057,2009,11,CO2,310,71,310,85,128,43,45
Florida,12,Hillsborough,057,2009,12,CO2,229,69,229,66,98,34,42
Florida,12,Hillsborough,057,2010,1,CO2,145,72,149,1,7,1,6
Florida,12,Hillsborough,057,2010,2,CO2,250,73,250,12,37,10,22
Florida,12,Hillsborough,057,2010,3,CO2,309,75,310,13,47,9,25
Florida,12,Hillsborough,057,2010,4,CO2,283,75,286,22,55,14,31
Florida,12,Hillsborough,057,2010,5,CO2,350,75,355,18,104,14,48
Florida,12,Hillsborough,057,2010,6,CO2,282,75,287,16,77,11,32
Florida,12,Hillsborough,057,2010,7,CO2,284,75,288,302,473,73,100
Florida,12,Hillsborough,057,2010,8,CO2,358,75,366,246,943,109,180
Florida,12,Hillsborough,057,2010,9,CO2,283,75,284,102,302,45,80
Florida,12,Hillsborough,057,2010,10,CO2,289,75,291,53,247,31,86
Florida,12,Hillsborough,057,2010,11,CO2,334,75,339,63,165,36,80
Florida,12,Hillsborough,057,2010,12,CO2,115,65,115,0,17,0,13
Florida,12,Hillsborough,057,2011,1,CO2,218,75,293,7,45,7,23
Florida,12,Hillsborough,057,2011,2,CO2,251,76,253,7,60,6,30
Florida,12,Hillsborough,057,2011,3,CO2,290,78,294,51,202,22,76
Florida,12,Hillsborough,057,2011,4,CO2,303,78,304,162,376,59,87
Florida,12,Hillsborough,057,2011,5,CO2,365,79,376,82,129,36,52
Florida,12,Hillsborough,057,2011,6,CO2,285,76,285,47,284,34,88
Florida,12,Hillsborough,057,2011,7,CO2,294,77,297,181,685,82,135
Florida,12,Hillsborough,057,2011,8,CO2,365,78,370,115,454,59,132
Florida,12,Hillsborough,057,2011,9,CO2,298,78,300,66,269,41,87
Florida,12,Hillsborough,057,2011,10,CO2,359,77,364,153,255,79,100
Florida,12,Hillsborough,057,2011,11,CO2,218,77,222,43,115,25,39
Florida,12,Hillsborough,057,2011,12,CO2,255,76,258,48,106,25,46
Florida,12,Hillsborough,057,2012,1,CO2,279,78,283,14,67,13,37
Florida,12,Hillsborough,057,2012,2,CO2,235,76,237,14,73,12,41
Florida,12,Hillsborough,057,2012,3,CO2,265,77,272,74,115,37,53
Florida,12,Hillsborough,057,2012,4,CO2,328,78,331,125,333,54,91
Florida,12,Hillsborough,057,2012,5,CO2,274,78,277,47,209,33,81
Florida,12,Hillsborough,057,2012,6,CO2,262,77,264,94,267,44,88
Florida,12,Hillsborough,057,2012,7,CO2,78,60,82,34,124,21,35
Florida,12,Hillsborough,057,2012,8,CO2,20,18,25,10,29,6,11
Florida,12,Hillsborough,057,2012,9,CO2,231,79,237,145,228,50,67
Florida,12,Hillsborough,057,2012,10,CO2,290,79,301,180,261,64,68
Florida,12,Hillsborough,057,2012,11,CO2,292,80,293,74,177,36,61
Florida,12,Hillsborough,057,2012,12,CO2,314,78,317,60,114,28,48
Florida,12,Hillsborough,057,2013,1,CO2,255,77,258,79,77,40,41
Florida,12,Hillsborough,057,2013,2,CO2,221,78,223,37,53,22,30
Florida,12,Hillsborough,057,2013,3,CO2,215,75,216,36,39,23,23
Florida,12,Hillsborough,057,2013,4,CO2,272,80,306,33,70,17,33
Florida,12,Hillsborough,057,2013,5,CO2,250,80,253,29,95,16,40
Florida,12,Hillsborough,057,2013,6,CO2,214,80,215,186,316,48,74
Florida,12,Hillsborough,057,2013,7,CO2,201,80,205,275,327,52,63
Florida,12,Hillsborough,057,2013,8,CO2,52,51,53,44,34,14,11
Florida,12,Hillsborough,057,2013,9,CO2,82,77,103,28,73,10,23
Florida,12,Hillsborough,057,2013,10,CO2,5,5,5,0,0,0,0
Florida,12,Hillsborough,057,2013,11,CO2,72,69,73,37,43,21,19
Florida,12,Hillsborough,057,2013,12,CO2,207,78,207,52,46,31,30
Florida,12,Hillsborough,057,2014,1,CO2,232,78,235,24,33,19,20
Florida,12,Hillsborough,057,2014,2,CO2,277,78,278,34,81,21,36
Florida,12,Hillsborough,057,2014,3,CO2,344,79,751,90,257,37,61
Florida,12,Hillsborough,057,2014,4,CO2,276,78,279,50,219,28,60
Florida,12,Hillsborough,057,2014,5,CO2,74,65,78,13,36,6,11
Florida,12,Hillsborough,057,2014,6,CO2,72,68,78,27,84,11,21
Florida,12,Hillsborough,057,2014,7,CO2,225,77,228,106,255,41,47
Florida,12,Hillsborough,057,2014,8,CO2,284,79,288,211,162,62,42
Florida,12,Hillsborough,057,2014,9,CO2,356,77,361,195,219,56,64
Florida,12,Hillsborough,057,2014,10,CO2,236,76,238,83,273,25,31
Florida,12,Hillsborough,057,2014,11,CO2,237,75,238,41,51,15,12
Florida,12,Hillsborough,057,2014,12,CO2,296,76,299,119,48,37,18
Florida,12,Hillsborough,057,2015,1,CO2,226,69,229,75,60,25,23
Florida,12,Hillsborough,057,2015,2,CO2,196,59,197,44,82,19,16
Florida,12,Hillsborough,057,2015,3,CO2,288,60,293,95,162,33,41
Florida,12,Hillsborough,057,2015,4,CO2,219,60,222,78,91,28,29
Florida,12,Hillsborough,057,2015,5,CO2,217,60,219,185,165,42,39
Florida,12,Hillsborough,057,2015,6,CO2,272,60,277,406,413,64,66
Florida,12,Hillsborough,057,2015,7,CO2,223,61,226,287,549,59,63
Florida,12,Hillsborough,057,2015,8,CO2,285,61,288,853,513,54,36
Florida,12,Hillsborough,057,2015,9,CO2,233,61,233,220,270,34,27
Florida,12,Hillsborough,057,2015,10,CO2,225,61,225,133,85,39,23
Florida,12,Hillsborough,057,2015,11,CO2,278,61,280,78,111,31,29
Florida,12,Hillsborough,057,2015,12,CO2,233,61,236,73,109,35,31
Florida,12,Hillsborough,057,2016,1,CO2,163,60,163,10,19,8,8
Florida,12,Hillsborough,057,2016,2,BGS,30,28,30,47,156,16,15
Florida,12,Hillsborough,057,2016,2,CO2,274,59,274,21,28,9,9
Florida,12,Hillsborough,057,2016,3,BGS,22,19,24,141,296,14,14
Florida,12,Hillsborough,057,2016,3,CO2,202,58,202,16,27,7,10
Florida,12,Hillsborough,057,2016,4,BGS,5,4,5,2,95,1,5
Florida,12,Hillsborough,057,2016,4,CO2,225,59,225,277,108,47,34
Florida,12,Hillsborough,057,2016,5,BGS,13,13,13,69,311,8,10
Florida,12,Hillsborough,057,2016,5,CO2,277,59,277,310,144,48,42
Florida,12,Hillsborough,057,2016,6,BGS,5,5,5,9,37,1,4
Florida,12,Hillsborough,057,2016,6,CO2,221,59,221,122,36,35,20
Florida,12,Hillsborough,057,2016,7,BGS,8,7,8,643,102,7,6
Florida,12,Hillsborough,057,2016,7,CO2,218,59,218,65,34,32,21
Florida,12,Hillsborough,057,2016,8,BGS,26,26,26,3262,255,22,15
Florida,12,Hillsborough,057,2016,8,CO2,269,60,269,142,72,40,29
Florida,12,Hillsborough,057,2016,9,BGS,12,12,13,91,51,11,3
Florida,12,Hillsborough,057,2016,9,CO2,220,58,220,30,21,19,19
Florida,12,Hillsborough,057,2016,10,BGS,24,24,24,367,181,16,16
Florida,12,Hillsborough,057,2016,10,CO2,259,57,259,63,40,26,23
Florida,12,Hillsborough,057,2016,11,CO2,194,57,194,48,21,17,16
Florida,12,Hillsborough,057,2016,12,CO2,162,55,162,56,28,18,15
Florida,12,Hillsborough,057,2017,1,CO2,104,36,140,9,6,5,6
Florida,12,Hillsborough,057,2017,2,CO2,126,33,127,17,20,9,9
Florida,12,Hillsborough,057,2017,3,CO2,84,33,84,4,33,4,9
Florida,12,Hillsborough,057,2017,4,CO2,124,33,124,26,47,14,21
Florida,12,Hillsborough,057,2017,5,CO2,150,33,150,21,57,13,21
Florida,12,Hillsborough,057,2017,6,BGS,11,11,11,1838,212,10,4
Florida,12,Hillsborough,057,2017,6,CO2,129,33,147,103,166,21,42
Florida,12,Hillsborough,057,2017,7,BGS,60,56,61,3508,1456,53,42
Florida,12,Hillsborough,057,2017,7,CO2,159,33,161,142,237,31,53
Florida,12,Hillsborough,057,2017,8,BGS,48,47,48,3682,313,34,38
Florida,12,Hillsborough,057,2017,8,CO2,124,33,124,62,89,18,34
Florida,12,Hillsborough,057,2017,9,BGS,23,22,23,216,274,13,19
Florida,12,Hillsborough,057,2017,9,CO2,128,33,128,17,55,6,22
Florida,12,Hillsborough,057,2017,10,BGS,18,15,18,119,14,16,5
Florida,12,Hillsborough,057,2017,10,CO2,158,33,158,7,50,4,20
Florida,12,Hillsborough,057,2017,11,CO2,125,33,125,6,71,5,33
Florida,12,Hillsborough,057,2017,12,CO2,58,31,58,1,12,1,6
Florida,12,Hillsborough,057,2018,1,CO2,72,29,72,0,2,0,2
Florida,12,Hillsborough,057,2018,2,CO2,122,34,122,11,57,6,18
Florida,12,Hillsborough,057,2018,3,CO2,31,31,31,0,14,0,7
Florida,12,Hillsborough,057,2018,4,CO2,29,27,29,8,3,4,3
Florida,12,Hillsborough,057,2018,5,CO2,81,27,81,12,31,6,12
Florida,12,Hillsborough,057,2018,6,CO2,107,27,107,23,100,11,35
Florida,12,Hillsborough,057,2018,7,CO2,122,27,122,33,208,9,37
Florida,12,Hillsborough,057,2018,8,CO2,129,27,129,33,118,14,34
Florida,12,Hillsborough,057,2018,9,CO2,108,27,108,12,34,4,19
Florida,12,Hillsborough,057,2018,10,BGS,31,1,31,0,0,0,0
Florida,12,Hillsborough,057,2018,10,CO2,122,28,122,21,36,6,23
Florida,12,Hillsborough,057,2018,11,BGS,27,1,27,0,0,0,0
Florida,12,Hillsborough,057,2018,11,CO2,122,27,122,29,28,4,17
Florida,12,Hillsborough,057,2018,12,BGS,44,2,44,0,0,0,0
Florida,12,Hillsborough,057,2018,12,CO2,108,27,108,5,8,3,6
Florida,12,Lee,071,2018,1,CO2,25,21,25,0,0,0,0
Florida,12,Lee,071,2018,1,BGS,7,7,7,1,1,1,1
Florida,12,Lee,071,2018,2,CO2,81,20,81,4,8,4,4
Florida,12,Lee,071,2018,2,BGS,28,7,28,68,17,15,9
Florida,12,Lee,071,2018,3,CO2,82,21,82,1,2,1,2
Florida,12,Lee,071,2018,3,BGS,35,7,35,46,9,15,7
Florida,12,Lee,071,2018,4,CO2,89,20,89,2,2,2,2
Florida,12,Lee,071,2018,4,BGS,28,7,28,148,13,23,6
Florida,12,Lee,071,2018,5,CO2,101,22,101,26,6,10,3
Florida,12,Lee,071,2018,5,BGS,37,8,37,502,37,31,11
Florida,12,Lee,071,2018,6,CO2,92,22,92,68,54,12,6
Florida,12,Lee,071,2018,6,BGS,28,7,28,585,77,28,16
Florida,12,Lee,071,2018,7,CO2,96,20,96,89,61,13,13
Florida,12,Lee,071,2018,7,BGS,34,7,34,481,91,34,18
Florida,12,Lee,071,2018,8,CO2,95,32,95,6,62,2,9
Florida,12,Lee,071,2018,8,BGS,28,7,28,321,81,26,18
Florida,12,Lee,071,2018,9,CO2,112,34,112,24,21,8,3
Florida,12,Lee,071,2018,9,BGS,26,7,26,144,31,21,13
Florida,12,Lee,071,2018,10,CO2,126,37,126,79,13,10,5
Florida,12,Lee,071,2018,10,BGS,34,7,34,172,31,24,13
Florida,12,Lee,071,2018,11,CO2,64,21,64,13,5,7,3
Florida,12,Lee,071,2018,11,BGS,9,6,9,43,3,7,3
Florida,12,Lee,071,2018,12,CO2,38,20,38,5,1,4,1
Florida,12,Lee,071,2018,12,BGS,4,4,4,4,0,2,0
Florida,12,Lee,071,2017,1,CO2,60,19,60,2,0,2,0
Florida,12,Lee,071,2017,1,BGS,4,4,4,3,1,3,1
Florida,12,Lee,071,2017,2,CO2,76,20,76,5,0,4,0
Florida,12,Lee,071,2017,2,BGS,12,4,12,10,2,6,2
Florida,12,Lee,071,2017,3,CO2,76,19,76,15,1,8,1
