state,statefp,county,countyfp,year,month,trap_type,num_collection_events,num_sites,num_trap_nights,num_aegypti_collected,num_albopictus_collected,num_collections_aegypti,num_collections_albopictus
North Carolina,37,Forsyth,067,2017,4,CO2,6,6,6,0,0,0,0
North Carolina,37,Forsyth,067,2017,5,BGS,1,1,1,0,424,0,1
North Carolina,37,Forsyth,067,2017,5,CO2,13,9,13,0,14,0,4
North Carolina,37,Forsyth,067,2017,5,GRAV,17,9,18,0,55,0,8
North Carolina,37,Forsyth,067,2017,6,BGS,2,2,2,0,31,0,2
North Carolina,37,Forsyth,067,2017,6,CO2,18,14,18,0,10,0,5
North Carolina,37,Forsyth,067,2017,6,GRAV,32,13,38,0,68,0,17
North Carolina,37,Forsyth,067,2017,7,BGS,5,4,5,0,1381,0,5
North Carolina,37,Forsyth,067,2017,7,CO2,8,7,8,0,2,0,1
North Carolina,37,Forsyth,067,2017,7,GRAV,25,12,25,0,267,0,17
North Carolina,37,Forsyth,067,2017,8,GRAV,1,1,1,0,3,0,1
North Carolina,37,Forsyth,067,2018,5,CO2,6,4,6,0,0,0,0
North Carolina,37,Forsyth,067,2018,5,GRAV,26,9,26,0,15,0,9
North Carolina,37,Forsyth,067,2018,6,BGS,3,3,16,0,68,0,3
North Carolina,37,Forsyth,067,2018,6,CO2,10,10,10,0,5,0,3
North Carolina,37,Forsyth,067,2018,6,GRAV,15,11,15,0,32,0,11
North Carolina,37,Forsyth,067,2018,7,BGS,1,1,1,0,1,0,1
North Carolina,37,Forsyth,067,2018,7,CO2,6,4,6,0,0,0,0
North Carolina,37,Forsyth,067,2018,7,GRAV,32,18,38,0,140,0,24
North Carolina,37,Forsyth,067,2018,8,CO2,7,6,7,0,17,0,3
North Carolina,37,Forsyth,067,2018,8,GRAV,32,17,32,0,134,0,25
North Carolina,37,Forsyth,067,2018,9,BGS,1,1,1,0,2,0,1
North Carolina,37,Forsyth,067,2018,9,GRAV,6,3,6,0,147,0,6
North Carolina,37,Forsyth,067,2018,10,CO2,5,4,5,0,0,0,0
North Carolina,37,Forsyth,067,2018,10,GRAV,3,3,3,0,45,0,3
North Carolina,37,New Hanover,129,2017,2,CO2,11,8,11,0,0,0,0
North Carolina,37,New Hanover,129,2017,3,CO2,31,8,37,0,0,0,0
North Carolina,37,New Hanover,129,2017,4,CO2,28,8,28,0,2,0,1
North Carolina,37,New Hanover,129,2017,5,CO2,45,12,45,0,69,0,17
North Carolina,37,New Hanover,129,2017,6,BGS,2,2,3,0,5,0,2
North Carolina,37,New Hanover,129,2017,6,CO2,36,10,36,0,58,0,13
North Carolina,37,New Hanover,129,2017,7,CO2,39,11,39,0,63,0,18
