state,statefp,county,countyfp,year,month,trap_type,num_sites,num_collection_events,num_trap_nights,num_aegypti_collected,num_albopictus_collected,num_collections_aegypti,num_collections_albopictus
Connecticut,09,Fairfield,001,2013,8,BGS,7,26,26,0,68,0,15
Connecticut,09,Fairfield,001,2013,9,CO2,32,127,127,0,136,0,15
Connecticut,09,Fairfield,001,2013,9,GRAV,32,128,128,0,24,0,9
Connecticut,09,Fairfield,001,2010,7,GRAV,32,92,92,0,0,0,0
Connecticut,09,Fairfield,001,2010,8,BGS,1,2,2,0,0,0,0
Connecticut,09,Fairfield,001,2010,8,CO2,32,154,154,0,1,0,1
Connecticut,09,Fairfield,001,2013,8,GRAV,32,123,123,0,29,0,22
Connecticut,09,Fairfield,001,2010,10,GRAV,28,108,108,0,0,0,0
Connecticut,09,Fairfield,001,2013,6,BGS,2,3,3,0,2,0,1
Connecticut,09,Fairfield,001,2013,7,GRAV,32,98,98,0,7,0,6
Connecticut,09,Fairfield,001,2010,8,GRAV,32,154,154,0,0,0,0
Connecticut,09,Fairfield,001,2013,8,CO2,32,123,123,0,55,0,19
Connecticut,09,Fairfield,001,2016,9,CO2,33,142,142,0,279,0,30
Connecticut,09,Fairfield,001,2016,9,GRAV,33,142,142,0,65,0,28
Connecticut,09,Fairfield,001,2016,9,BGS,16,60,60,0,202,0,19
Connecticut,09,Fairfield,001,2016,10,CO2,29,64,64,0,93,0,14
Connecticut,09,Fairfield,001,2016,10,GRAV,29,64,64,0,19,0,9
Connecticut,09,Fairfield,001,2015,6,CO2,32,95,95,0,1,0,1
Connecticut,09,Fairfield,001,2010,9,GRAV,32,163,163,0,0,0,0
Connecticut,09,Fairfield,001,2010,10,CO2,28,108,108,0,0,0,0
Connecticut,09,Fairfield,001,2015,7,CO2,32,96,96,0,4,0,4
Connecticut,09,Fairfield,001,2013,6,CO2,32,84,84,0,12,0,4
Connecticut,09,Fairfield,001,2013,7,CO2,32,97,97,0,13,0,4
Connecticut,09,Fairfield,001,2013,7,BGS,6,16,16,0,10,0,5
Connecticut,09,Fairfield,001,2010,7,CO2,32,92,92,0,0,0,0
Connecticut,09,Fairfield,001,2010,6,GRAV,32,99,99,0,0,0,0
Connecticut,09,Fairfield,001,2014,9,BGS,32,18,18,0,12,0,5
Connecticut,09,Fairfield,001,2014,10,CO2,22,70,70,0,7,0,6
Connecticut,09,Fairfield,001,2014,10,GRAV,16,46,46,0,3,0,1
Connecticut,09,Fairfield,001,2014,10,BGS,5,8,8,0,1,0,1
Connecticut,09,Fairfield,001,2016,6,GRAV,33,99,99,0,6,0,3
Connecticut,09,Fairfield,001,2015,6,GRAV,32,95,95,0,1,0,1
Connecticut,09,Fairfield,001,2015,6,BGS,1,3,3,0,0,0,0
Connecticut,09,Fairfield,001,2016,7,CO2,33,84,84,0,21,0,9
Connecticut,09,Fairfield,001,2013,10,GRAV,30,58,58,0,7,0,3
Connecticut,09,Fairfield,001,2013,6,GRAV,32,83,83,0,16,0,4
Connecticut,09,Fairfield,001,2016,8,GRAV,33,143,143,0,156,0,41
Connecticut,09,Fairfield,001,2016,8,BGS,12,40,40,0,372,0,24
Connecticut,09,Fairfield,001,2012,8,GRAV,32,176,176,0,29,0,18
Connecticut,09,Fairfield,001,2012,8,BGS,6,19,19,0,84,0,13
Connecticut,09,Fairfield,001,2012,9,CO2,32,149,149,0,20,0,11
Connecticut,09,Fairfield,001,2012,9,GRAV,32,150,150,0,10,0,10
Connecticut,09,Fairfield,001,2012,9,BGS,6,23,23,0,34,0,10
Connecticut,09,Fairfield,001,2012,10,CO2,31,95,95,0,13,0,4
Connecticut,09,Fairfield,001,2010,9,CO2,32,162,162,0,0,0,0
Connecticut,09,Fairfield,001,2016,6,BGS,3,9,9,0,21,0,4
Connecticut,09,Fairfield,001,2013,10,CO2,31,83,83,0,78,0,14
Connecticut,09,Fairfield,001,2014,7,CO2,32,96,96,0,9,0,6
Connecticut,09,Fairfield,001,2014,7,GRAV,32,96,96,0,1,0,1
Connecticut,09,Fairfield,001,2016,8,CO2,33,142,142,0,676,0,41
Connecticut,09,Fairfield,001,2012,8,CO2,32,177,177,0,20,0,14
Connecticut,09,Fairfield,001,2010,6,CO2,32,97,97,0,0,0,0
Connecticut,09,Fairfield,001,2014,9,CO2,32,146,146,0,21,0,11
Connecticut,09,Fairfield,001,2014,9,GRAV,32,146,146,0,25,0,15
Connecticut,09,Fairfield,001,2016,5,CO2,5,5,5,0,0,0,0
Connecticut,09,Fairfield,001,2016,5,GRAV,5,5,5,0,0,0,0
Connecticut,09,Fairfield,001,2016,5,BGS,1,1,1,0,0,0,0
Connecticut,09,Fairfield,001,2016,10,BGS,15,33,33,0,88,0,11
Connecticut,09,Fairfield,001,2013,9,BGS,8,25,25,0,59,0,8
Connecticut,09,Fairfield,001,2014,6,BGS,1,3,3,0,2,0,1
Connecticut,09,Fairfield,001,2011,9,CO2,32,118,118,0,2,0,2
Connecticut,09,Fairfield,001,2011,9,GRAV,32,119,119,0,2,0,2
Connecticut,09,Fairfield,001,2011,10,CO2,32,102,102,0,3,0,2
Connecticut,09,Fairfield,001,2011,10,GRAV,32,102,102,0,0,0,0
Connecticut,09,Fairfield,001,2017,7,GRAV,33,91,91,0,25,0,10
Connecticut,09,Fairfield,001,2017,7,BGS,9,26,26,0,124,0,14
Connecticut,09,Fairfield,001,2017,8,CO2,33,138,138,0,339,0,33
Connecticut,09,Fairfield,001,2017,8,GRAV,33,137,137,0,61,0,22
Connecticut,09,Fairfield,001,2017,9,CO2,33,127,127,0,436,0,29
Connecticut,09,Fairfield,001,2016,6,CO2,33,98,98,0,5,0,3
Connecticut,09,Fairfield,001,2011,7,GRAV,32,88,88,0,0,0,0
Connecticut,09,Fairfield,001,2011,8,GRAV,32,165,165,0,3,0,3
Connecticut,09,Fairfield,001,2017,10,BGS,13,35,35,0,317,0,21
Connecticut,09,Fairfield,001,2015,10,BGS,5,11,11,0,7,0,3
Connecticut,09,Fairfield,001,2012,7,CO2,32,105,105,0,10,0,7
Connecticut,09,Fairfield,001,2015,7,GRAV,32,96,96,0,1,0,1
Connecticut,09,Fairfield,001,2015,7,BGS,4,10,10,0,5,0,3
Connecticut,09,Fairfield,001,2015,8,CO2,32,125,125,0,36,0,21
Connecticut,09,Fairfield,001,2015,8,GRAV,32,125,125,0,7,0,6
Connecticut,09,Fairfield,001,2015,8,BGS,5,19,19,0,29,0,9
Connecticut,09,Fairfield,001,2015,9,CO2,32,156,156,0,50,0,26
Connecticut,09,Fairfield,001,2015,9,GRAV,32,159,159,0,12,0,12
Connecticut,09,Fairfield,001,2017,9,GRAV,33,129,129,0,35,0,20
Connecticut,09,Fairfield,001,2012,10,GRAV,32,96,96,0,3,0,3
Connecticut,09,Fairfield,001,2012,10,BGS,6,17,17,0,2,0,1
Connecticut,09,Fairfield,001,2015,10,GRAV,32,76,76,0,2,0,2
Connecticut,09,Fairfield,001,2012,6,GRAV,32,80,80,0,0,0,0
Connecticut,09,Fairfield,001,2017,6,CO2,33,87,87,0,10,0,4
Connecticut,09,Fairfield,001,2014,7,BGS,2,5,5,0,3,0,2
Connecticut,09,Fairfield,001,2014,8,GRAV,32,100,100,0,19,0,11
Connecticut,09,Fairfield,001,2014,8,BGS,6,14,14,0,5,0,4
Connecticut,09,Fairfield,001,2017,7,CO2,33,91,91,0,64,0,12
Connecticut,09,Fairfield,001,2011,5,CO2,5,5,5,0,0,0,0
