"state","statefp","county","countyfp","year","month","trap_type","num_sites","num_collection_events","num_trap_nights","num_aegypti_collected","num_albopictus_collected","num_collections_aegypti","num_collections_albopictus"
"Arizona",4,"Maricopa",13,2018,1,"BGS",10,40,40,0,0,0,0
"Arizona",4,"Maricopa",13,2018,1,"CO2",791,2848,2848,366,0,82,0
"Arizona",4,"Maricopa",13,2018,2,"BGS",10,40,40,0,0,0,0
"Arizona",4,"Maricopa",13,2018,2,"CO2",793,3075,3075,344,0,60,0
"Arizona",4,"Maricopa",13,2018,3,"BGS",10,40,40,1,0,1,0
"Arizona",4,"Maricopa",13,2018,3,"CO2",792,3491,3491,91,0,44,0
"Arizona",4,"Maricopa",13,2018,4,"BGS",10,40,40,1,0,1,0
"Arizona",4,"Maricopa",13,2018,4,"CO2",791,3142,3142,181,0,109,0
"Arizona",4,"Maricopa",13,2018,5,"BGS",10,43,43,5,0,5,0
"Arizona",4,"Maricopa",13,2018,5,"CO2",791,3724,3724,1248,0,490,0
"Arizona",4,"Maricopa",13,2018,6,"BGS",10,45,45,21,0,9,0
"Arizona",4,"Maricopa",13,2018,6,"CO2",791,3360,3360,3044,0,810,0
"Arizona",4,"Maricopa",13,2018,7,"BGS",10,40,40,26,0,9,0
"Arizona",4,"Maricopa",13,2018,7,"CO2",791,3453,3453,4724,0,862,0
"Arizona",4,"Maricopa",13,2018,8,"BGS",10,46,46,127,0,12,0
"Arizona",4,"Maricopa",13,2018,8,"CO2",792,3641,3641,7703,0,1218,0
"Arizona",4,"Maricopa",13,2018,9,"BGS",10,40,40,79,0,16,0
"Arizona",4,"Maricopa",13,2018,9,"CO2",792,3151,3151,10210,0,1276,0
"Arizona",4,"Maricopa",13,2018,10,"BGS",10,41,41,73,0,19,0
"Arizona",4,"Maricopa",13,2018,10,"CO2",792,3526,3526,18970,0,1649,0
"Arizona",4,"Maricopa",13,2018,11,"BGS",9,42,42,84,0,19,0
"Arizona",4,"Maricopa",13,2018,11,"CO2",801,3597,3597,7639,0,1573,0
"Arizona",4,"Maricopa",13,2018,12,"BGS",9,27,27,2,0,2,0
"Arizona",4,"Maricopa",13,2018,12,"CO2",801,2391,2391,742,0,347,0
"Arizona",4,"Maricopa",13,2019,1,"BGS",7,28,28,0,0,0,0
"Arizona",4,"Maricopa",13,2019,1,"CO2",801,3073,3073,81,0,52,0
"Arizona",4,"Maricopa",13,2019,2,"BGS",7,26,26,0,0,0,0
"Arizona",4,"Maricopa",13,2019,2,"CO2",801,3222,3222,31,0,21,0
"Arizona",4,"Maricopa",13,2019,3,"BGS",6,16,16,0,0,0,0
"Arizona",4,"Maricopa",13,2019,3,"CO2",801,3236,3236,126,0,89,0
"Arizona",4,"Maricopa",13,2019,4,"BGS",6,24,24,5,0,4,0
"Arizona",4,"Maricopa",13,2019,4,"CO2",801,3414,3414,975,0,440,0
"Arizona",4,"Maricopa",13,2019,5,"BGS",8,38,38,18,0,9,0
"Arizona",4,"Maricopa",13,2019,5,"CO2",801,3740,3740,5486,0,1254,0
"Arizona",4,"Maricopa",13,2019,6,"BGS",8,32,32,24,0,9,0
"Arizona",4,"Maricopa",13,2019,6,"CO2",803,3198,3198,6184,0,1236,0
"Arizona",4,"Maricopa",13,2019,7,"BGS",8,34,34,12,0,6,0
"Arizona",4,"Maricopa",13,2019,7,"CO2",802,3665,3665,4136,0,988,0
"Arizona",4,"Maricopa",13,2019,8,"BGS",8,30,30,20,0,9,0
"Arizona",4,"Maricopa",13,2019,8,"CO2",802,3514,3514,5924,0,1096,0
"Arizona",4,"Maricopa",13,2019,9,"BGS",8,28,28,10,0,7,0
"Arizona",4,"Maricopa",13,2019,9,"CO2",804,3208,3208,5814,0,1012,0
"Arizona",4,"Maricopa",13,2019,10,"BGS",9,38,38,26,0,13,0
"Arizona",4,"Maricopa",13,2019,10,"CO2",804,3882,3882,10495,0,1422,0
"Arizona",4,"Maricopa",13,2019,11,"BGS",9,35,35,19,0,8,0
"Arizona",4,"Maricopa",13,2019,11,"CO2",804,3304,3304,1527,0,525,0
"Arizona",4,"Maricopa",13,2019,12,"BGS",9,19,19,2,0,2,0
"Arizona",4,"Maricopa",13,2019,12,"CO2",805,2403,2403,784,0,204,0
